VALUE,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
3738,Open Water,11,Ba Open Water,Water,11,Non-vegetated,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
3805,Water,11,Ba Water,Water,11,Non-vegetated,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
3859,Water,11,Ba Water,Water,11,Non-vegetated,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
3887,Water,11,Ba Water,Water,11,Non-vegetated,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
3737,Snow-Ice,12,Ba Snow-Ice,Snow-Ice,12,Non-vegetated,Snow-Ice,LF 12: Snow-Ice,Non-vegetated,Non-vegetated,Non-vegetated,159,161,240,0.623529,0.631373,0.941176
3767,Developed-Open Space,21,Bau Developed-Open Space,Developed,21,Developed,Developed-Open Space,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3768,Developed-Low Intensity,22,Bau Developed-Low Intensity,Developed,22,Developed,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,255,122,143,1,0.478431,0.560784
3769,Developed-Medium Intensity,23,Bau Developed-Medium Intensity,Developed,23,Developed,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,253,44,79,0.992157,0.172549,0.309804
3770,Developed-High Intensity,24,Bau Developed-High Intensity,Developed,24,Developed,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,173,0,28,0.678431,0,0.109804
3800,Developed-Open Space,21,Bau Developed-Open Space,Developed,21,Developed,Developed-Open Space,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3801,Developed-Low Intensity,22,Bau Developed-Low Intensity,Developed,22,Developed,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,255,122,143,1,0.478431,0.560784
3802,Developed-Medium Intensity,23,Bau Developed-Medium Intensity,Developed,23,Developed,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,253,44,79,0.992157,0.172549,0.309804
3803,Developed-High Intensity,24,Bau Developed-High Intensity,Developed,24,Developed,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,173,0,28,0.678431,0,0.109804
3857,Urban,20,Bau Urban,Developed,20,Developed,Developed-General,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3860,Caribbean High-medium density urban,2860,Bau Caribbean High-medium density urban,Developed,23,Developed,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3861,Caribbean Low-medium density urban,2861,Bau Caribbean Low-medium density urban,Developed,24,Developed,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3900,Western Cool Temperate Urban Deciduous Forest,2913,Dtd Urban Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216,0.266667,0.537255
